Saison;Spieltag;Datum;H/A;Gegner;Ergebnis;Punkte;Platz;Geschossen;Kassiert
2025/26;1;10.08.2025;H;SV Dorsten Hardt;1:1;1;9;83|Marius Schomaker;69
2025/26;2;17.08.2025;A;Westfalia Gemen;2:1;3;6;53|Marius Schomaker|61|Jonas Schomaker;19
2025/26;3;24.08.2025;H;SG Bockum-Hövel;1:0;3;3;83|Marius Klöpper;
2025/26;4;31.08.2025;A;Borussia Münster;1:6;0;7;41|Omar Guetat;11|27|52|58|73|87
2025/26;5;07.09.2025;H;SW Lembeck;2:2;1;7;27|Jonas Schäfer|59|Engin Demirdag;55|68
2025/26;6;14.09.2025;A;Ibbenbürener Spvg;3:2;3;5;45|Marius Schomaker|70|Jonas Schomaker|82|Jonas Schomaker;42|64
2025/26;7;21.09.2025;H;SV Burgsteinfurt;0:3;0;7;;31|37|81
2025/26;8;28.09.2025;A;SC Altenrheine;2:0;3;6;33|Marius Schomaker|69|ZZZ Eigentor;
2025/26;9;05.10.2025;H;Werner SC;4:2;3;2;37|Jonas Schomaker|76|Jonas Schomaker|89|Adinane Fousseni|90|Jonas Schomaker;32|36
2025/26;10;12.10.2025;A;Lüner SV;0:1;0;5;;45
2025/26;11;19.10.2025;H;VfL Senden;2:3;0;6;45|Jonas Schomaker|59|Marius Schomaker;12|13|24
2025/26;12;26.10.2025;A;ASK Ahlen;5:3;3;4;34|Jonas Schomaker|37|Marius Schomaker|70|Marko Kötter|73|Engin Demirdag|78|Marius Schomaker;19|62|80
2025/26;13;02.11.2025;H;Rot-Weiß Deuten;2:1;3;3;51|Marius Schomaker|56|Jonas Schomaker;89
2025/26;14;07.11.2025;A;Hammer SpVg;2:3;0;5;56|Jürgen Venikh|80|Jonas Schomaker;41|51|76
2025/26;15;16.11.2025;H;Vorwärts Wettringen;2:1;3;4;67|Tim Merker|74|Jan Walbaum;58
2025/26;16;30.11.2025;A;SV Dorsten Hardt;1:3;0;6;5|Hannes Rehr;36|40|44
2025/26;17;22.02.2026;H;Westfalia Gemen;1:2;0;8;66|Marius Klöpper;14|79
2025/26;18;01.03.2026;A;SG Bockum-Hövel;6:1;3;5;9|Luca Tillmann|27|Marius Schomaker|45|Luca Tillmann|46|Marco Kötter|49|Henrik Möllers|73|Marco Kötter;89
2025/26;19;08.03.2026;H;Borussia Münster;1:0;3;4;78|Henrik Möllers;
2025/26;20;15.03.2026;A;SW Lembeck;4:2;3;3;5|Marius Schomaker|40|Luca Tillmann|88|Daiki Matsubara|90|Marius Schomaker;23|55
2025/26;21;25.03.2026;H;Ibbenbürener Spvg;3:1;3;3;8|Marius Schomaker|12|Daiki Matsubara|87|Jonas Schomaker;31
2025/26;22;29.03.2026;A;SV Burgsteinfurt;2:1;3;3;46|Henrik Möllers|86|ZZZ Eigentor;72
2025/26;23;12.04.2026;H;SC Altenrheine;1:2;0;4;30|Daiki Matsubara;26|62
2025/26;24;19.04.2026;A;Werner SC;5:2;3;3;32|Luca Tillmann|76|Luca Tillmann|82|Jan Walbaum|86|Daiki Matsubara|90|Jan Walbaum;64|72
2025/26;25;26.04.2026;H;Lüner SV;2:1;3;3;8|Jan Walbaum|40|Marco Kötter;31
2025/26;26;03.05.2026;A;VfL Senden;2:0;3;2;23|Marco Kötter|40|Marius Klöpper;
2025/26;27;10.05.2026;H;ASK Ahlen;2:1;3;1;5|Marius Klöpper|90|Jonas Schomaker;28
2025/26;28;17.05.2026;A;Rot-Weiß Deuten;;0;;;
2025/26;29;25.05.2026;H;Hammer SpVg;;0;;;
2025/26;30;31.05.2026;A;Vorwärts Wettringen;;0;;;
2024/25;1;11.08.2024;H;Concordia Albachten;4:0;3;2;3|Marius Schomaker|29|Marius Schomaker|80|Henrik Möllers|85|Niklaas Houghton;
2024/25;2;18.08.2024;A;Graf Kobbo Tecklenburg;4:0;3;1;50|Marius Klöpper|75|Jonas Schomaker|87|Marco Kötter|89|Marco Kötter;
2024/25;3;25.08.2024;H;VFL Wolbeck;4:0;3;1;29|Jonas Schomaker|38|Marius Schomaker|55|Adinane Fousseni|63|Niklaas Houghton;
2024/25;4;01.09.2024;A;Teuto Riesenbeck;3:1;3;2;43|Marius Schomaker|58|Adinane Fousseni|67|ZZZ Eigentor;54
2024/25;5;08.09.2024;H;BSV Roxel;2:0;3;2;57|Jonas Schomaker|63|Marco Kötter;
2024/25;6;15.09.2024;A;SV Mauritz;2:1;3;1;39|Marius Schomaker|81|Hannes Rehr;57
2024/25;7;22.09.2024;A;Germania Horstmar;6:0;3;1;27|Niklaas Houghton|31|Niklaas Houghton|39|Marius Schomaker|50|Marius Schomaker|63|Niklaas Houghton|77|ZZZ Eigentor;
2024/25;8;29.09.2024;H;SV Büren;3:2;3;1;10|Marius Schomaker|76|Luca Tillmann|90|Adinane Fousseni;14|61
2024/25;9;06.10.2024;A;SC Greven 09;1:4;0;2;67|Marius Klöpper;18|29|61|90
2024/25;10;13.10.2024;H;Borghorster FC;4:3;3;2;48|Henrik Möllers|74|Tim Merker|82|Jonas Schomaker|90|Jonas Schomaker;25|45|53
2024/25;11;20.10.2024;A;SG Telgte;5:0;3;2;7|Marius Klöpper|15|Asdren Haliti|61|Jonas Schomaker|67|Jonas Schomaker|90|Jonas Schomaker;
2024/25;12;27.10.2024;H;SC Münster 08;2:2;1;2;45|Merlin Heinz|73|Marius Schomaker;44|57
2024/25;13;03.11.2024;A;SuS Neuenkirchen II;3:0;3;2;31|Merlin Heinz|58|Jonas Schomaker|88|Marco Kötter;
2024/25;14;10.11.2024;H;FC Nordwalde;4:3;3;1;15|Jonas Schomaker|35|Luca Tillmann|78|Jonas Schomaker|88|Luca Tillmann;7|45|81
2024/25;15;17.11.2024;A;Wacker Mecklenbeck;6:1;3;1;4|Jonas Schomaker|44|Marius Klöpper|51|Jonas Schomaker|62|Henrik Möllers|67|Jonas Schomaker|72|Janes Böggemann;31
2024/25;16;01.12.2024;A;Concordia Albachten;0:1;0;1;;11
2024/25;17;16.02.2025;H;Graf Kobbo Tecklenburg;3:1;3;1;13|Omar Guetat|51|Marius Schomaker|90|Jonas Schomaker;77
2024/25;18;23.02.2025;A;VFL Wolbeck;3:1;3;1;20|Asdren Haliti|55|Marius Klöpper|86|Luca Tillmann;40
2024/25;19;09.03.2025;H;Teuto Riesenbeck;1:1;1;1;31|Asdren Haliti;47
2024/25;20;16.03.2025;A;BSV Roxel;4:0;3;1;6|Omar Guetat|30|Tim Merker|78|Niklaas Houghton|80|Niklaas Houghton;
2024/25;21;23.03.2025;H;SV Mauritz;1:1;1;1;90|Asdren Haliti;29
2024/25;22;30.03.2025;H;Germania Horstmar;4:1;3;1;22|Engin Demirdag|23|Marius Schomaker|30|Engin Demirdag|35|Asdren Haliti;84
2024/25;23;06.04.2025;A;SV Büren;7:2;3;1;4|Luca Tillmann|9|Henrik Möllers|24|Marius Klöpper|27|Omar Guetat|45|Luca Tillmann|48|Luca Tillmann|64|Jonas Schomaker;82|83
2024/25;24;13.04.2025;H;SC Greven 09;2:0;3;1;58|Henrik Möllers|73|Omar Guetat;
2024/25;25;27.04.2025;A;Borghorster FC;2:1;3;1;12|Marius Schomaker|30|Omar Guetat;32
2024/25;26;04.05.2025;H;SG Telgte;4:0;3;1;6|Henrik Möllers|17|Luca Tillmann|54|Engin Demirdag|66|Engin Demirdag;
2024/25;27;11.05.2025;A;SC Münster 08;2:0;3;1;40|Marius Schomaker|80|Marius Schomaker;
2024/25;28;18.05.2025;H;SuS Neuenkirchen II;4:1;3;1;9|Omar Guetat|30|Marius Schomaker|53|Luca Tillmann|68|Marius Schomaker;53
2024/25;29;25.05.2025;A;FC Nordwalde;1:1;1;1;44|Tim Merker;24
2024/25;30;01.06.2025;H;Wacker Mecklenbeck;3:2;3;1;13|Marius Schomaker|21|Luca Tillmann|38|Marius Schomaker;28|51
2023/24;1;12.08.2023;H;SV Mesum II;1:1;1;7;19|Jan Walbaum;38
2023/24;2;19.08.2023;A;SuS Neuenkirchen II;1:0;3;3;19|Jan Walbaum;
2023/24;3;27.08.2023;H;Westfalia Kinderhaus II;5:0;3;2;45|Marius Schomaker|57|Niklaas Houghton|64|Jonas Schomaker|67|Jonas Schomaker|69|Asdren Haliti;
2023/24;4;03.09.2023;A;spielfrei;-;0;3;;
2023/24;5;10.09.2023;H;Concordia Albachten;2:2;1;4;12|Marius Schomaker|90|Asdren Haliti;18|41
2023/24;6;17.09.2023;A;Graf Kobbo Tecklenburg;4:1;3;4;32|Niklaas Houghton|57|Jan Walbaum|63|Niklaas Houghton|89|Marius Schomaker;59
2023/24;7;24.09.2023;H;Teuto Riesenbeck;1:4;0;5;33|Jan Walbaum;31|45|72|90
2023/24;8;01.10.2023;A;SC Münster 08;2:2;1;6;45|Marco Kötter|90|Luca Tillmann;77|85
2023/24;9;07.10.2023;H;Falke Saerbeck;4:1;3;5;24|Tim Merker|33|Niklaas Houghton|62|Marco Kötter|86|Hannes Rehr;27
2023/24;10;15.10.2023;A;Wacker Mecklenbeck;3:1;3;5;24|Niklaas Houghton|39|Luca Tillmann|84|Asdren Haliti;41
2023/24;11;22.10.2023;H;SC Greven 09;1:0;3;3;31|Jan Walbaum;
2023/24;12;29.10.2023;A;Borghorster FC;2:3;0;4;51|Jan Walbaum|83|Adinane Fousseni;30|64|76
2023/24;13;05.11.2023;H;Germania Horstmar;2:1;3;3;7|Niklaas Houghton|90|Jan Walbaum;28
2023/24;14;10.11.2023;A;SV Burgsteinfurt;2:6;0;6;15|Marius Schomaker|43|Adinane Fousseni;33|35|38|41|56|74
2023/24;15;19.11.2023;H;BSV Roxel;2:0;3;4;70|Marius Schomaker|90|Merlin Heinz;
2023/24;16;09.12.2023;A;SV Mesum II;5:2;3;3;1|Niklaas Houghton|15|Merlin Heinz|30|Niklaas Houghton|36|Jan Walbaum|90|Jonas Schomaker;40|70
2023/24;17;18.02.2024;H;SuS Neuenkirchen II;0:0;1;3;;
2023/24;18;25.02.2024;A;Westfalia Kinderhaus II;3:0;3;2;60|Luca Tillmann|87|Malte Drewes|89|Niklaas Houghton;
2023/24;19;03.03.2024;H;spielfrei;-;0;3;;
2023/24;20;10.03.2024;A;Concordia Albachten;1:0;3;3;26|Adinane Fousseni;
2023/24;21;17.03.2024;H;Graf Kobbo Tecklenburg;3:0;3;2;48|Niklaas Houghton|65|Asdren Haliti|90|Adinane Fousseni;
